area,date,pov_line
Urban,2000-01-01,91632
Rural,2000-01-01,73648
Urban,2001-01-01,100011
Rural,2001-01-01,80382
Urban,2002-01-01,130499
Rural,2002-01-01,96512
Urban,2003-01-01,138803
Rural,2003-01-01,105888
Urban,2004-01-01,143455
Rural,2004-01-01,108725
Urban,2005-01-01,150799
Rural,2005-01-01,117259
Urban,2006-01-01,174290
Rural,2006-01-01,130584
Urban,2007-01-01,187942
Rural,2007-01-01,146837
Urban,2008-01-01,204896
Rural,2008-01-01,161831
Urban,2009-01-01,222123
Rural,2009-01-01,179835
Urban,2010-01-01,232989
Rural,2010-01-01,192354
Urban,2011-03-01,253016
Rural,2011-03-01,213395
Urban,2011-09-01,263594
Rural,2011-09-01,223181
Urban,2012-03-01,267408
Rural,2012-03-01,229226
Urban,2012-09-01,277382
Rural,2012-09-01,240441
Urban,2013-03-01,289042
Rural,2013-03-01,253273
Urban,2013-09-01,308826
Rural,2013-09-01,275779
Urban,2014-03-01,318514
Rural,2014-03-01,286097
Total,2014-03-01,302735
Urban,2014-09-01,326853
Rural,2014-09-01,296681
Total,2014-09-01,312328
Urban,2015-03-01,342541
Rural,2015-03-01,317881
Total,2015-03-01,330776
Urban,2015-09-01,356378
Rural,2015-09-01,333034
Total,2015-09-01,344809
Urban,2016-03-01,364527
Rural,2016-03-01,343647
Total,2016-03-01,354386
Urban,2016-09-01,372114
Rural,2016-09-01,350420
Total,2016-09-01,361990
Urban,2017-03-01,385621
Rural,2017-03-01,361496
Total,2017-03-01,374478
Urban,2017-09-01,400995
Rural,2017-09-01,370910
Total,2017-09-01,387160
Urban,2018-03-01,415614
Rural,2018-03-01,383908
Total,2018-03-01,401220
Urban,2018-09-01,425770
Rural,2018-09-01,392154
Total,2018-09-01,410670
Urban,2019-03-01,442062
Rural,2019-03-01,404398
Total,2019-03-01,425250
Urban,2019-09-01,458380
Rural,2019-09-01,418515
Total,2019-09-01,440538
Urban,2020-03-01,471822
Rural,2020-03-01,433281
Total,2020-03-01,454652
Urban,2020-09-01,475477
Rural,2020-09-01,437902
Total,2020-09-01,458947
